otto_product_id,asin,amazon_url,product_title,brand,amazon_price,delivery_days,sell_within_30_days_confidence,stagnation_risk_score,policy_risk_score,final_validation_score,would_list_yes_no,asin_real_yes_no,demand_makes_sense_yes_no,low_risk_yes_no,notes
OTTO-941f6615-62af-446f-9288-904b470f59e0,B0DS1QSHJL,https://www.amazon.com/Extra-Thick-Garden-Kneeling-Water-Resistant/dp/B0DS1QSHJL/ref=sr_1_1,"Extra Thick Garden Kneeling Pad - Foam Kneeling Pads for Gardening, Work & Exercise - Water-Resistant Knee Mat with Shock Absorbent Cushions for Baby Bath & Yoga, 17.2x11x1.5in, Black",fitply,10.99,8,83.29418556889836,25,0,83.03763135197836,,,,,
OTTO-6e6d0eec-a12b-4231-8fce-24fd1887bb40,B0D2X29NGL,https://www.amazon.com/HOOPLE-Kneeling-Gardening-Waterproof-Lightweight/dp/B0D2X29NGL/ref=sr_1_1,"HOOPLE Kneeling Pad for Gardening, Lightweight Foam Knee Cushion for Garden, Bath, Yoga & Exercise, Waterproof Comfort Kneeling Mat for Home, Garage & Outdoor Work, Black 14.6 x 11.5 x 0.7 Inch",HOOPLE,9.99,5,91.28468710089399,25,0,85.7329667943806,,,,,
OTTO-0e6f08dc-e6a9-4632-8f98-bf205e881f9d,B0CMCS65GB,https://www.amazon.com/HOOPLE-Kneeling-Waterproof-Gardening-Lightweight/dp/B0CMCS65GB/ref=sr_1_1,"HOOPLE Extra Thick Kneeling Pad, Soft Foam Kneeling Cushion, Waterproof Gardening Knee Pads, Lightweight Knee Mat for Bathing, Workout Supplies, Exercise Yoga, Garden Work Gifts 17.5 x 11 x 1 in, Black",HOOPLE,12.99,5,88.88931041181043,25,15,81.34557656232658,,,,,
OTTO-256e246d-a523-4015-8099-4fa815e63250,B0002YTVJA,https://www.amazon.com/Fiskars-94216974J-Ultralight-Kneeling-Cushion/dp/B0002YTVJA/ref=sr_1_1,"Fiskars Garden Kneeling Pad, 11"" x 18"" Lightweight and Thick EVA Foam Knee Cushion with Handle for Gardening, Cleaning, or Construction - Moisture and Rip Resistant, Gardening Supplies, Green",,6.99,5,90.55857604740407,10,15,83.31589347237401,,,,,
OTTO-3e2aa2d1-0d6f-437b-b08b-95e672a5e7aa,B0GHZNDHKP,https://www.amazon.com/Grenebo-High-Density-Kneeling-Gardening-17-3%C3%9711%C3%971-6/dp/B0GHZNDHKP/ref=sr_1_2,"Grenebo High-Density NBR Foam Garden Kneeling Pad, 1.6"" Extra Thick Gardening Pads for Kneeling, Ultra Soft Kneeling Pads for Gardening, Work, Exercise, Yoga, 17.3×11×1.6 in (2, Black)",Grenebo,20.99,5,77.16362837250058,25,0,78.378604118616,,,,,
OTTO-1b1dbb10-2750-4cfa-adc8-15c9a5bb17c9,B098QQ2B4B,https://www.amazon.com/HappyPicnic-Waterproof-Kneeling-Exercise-Planting/dp/B098QQ2B4B/ref=sr_1_1,"HappyPicnic Waterproof Garden Kneeling Pad - 2"" Thick Soft Foam Kneeling Mat for Gardeners with Handle & Removable Cover, Knee Support for Bathing, Grey",HappyPicnic,17.98,5,83.2628963305026,25,0,81.16011568358483,,,,,
OTTO-e01dfa39-99d9-45d4-bda9-1137eeb2f2cf,B07T9Z4NVP,https://www.amazon.com/Dimple-Kneeling-Kneelers-Gardening-Exercise/dp/B07T9Z4NVP/ref=sr_1_9,"Dimple Kneeling Pad, High Density Thick Foam Comfort Kneeling Mats for Gardening, Yoga Exercise, Garden Cushions, Knee Pads Black",Dimple,12.89,5,85.29311020251735,25,0,82.54836861268119,,,,,
OTTO-3c7e425f-9708-4032-84fc-faa8eaccbe15,B0F4K7L87M,https://www.amazon.com/Jardineer-Kneeling-Gardening-Extra-Thick/dp/B0F4K7L87M/ref=sr_1_4,"Jardineer Kneeling Pad for Gardening & Extra Thick Knee Pad – Soft Foam Knee Cushion with Waterproof Cover – Large 24x13 Inch Garden Kneeler Mat for Weeding, Exercise, Floor Work",Jardineer,25.99,8,73.4926118819557,25,0,76.12637963228578,,,,,
OTTO-3d3e5f34-a37e-44a2-a32a-1ab46223cef1,B08QTNM1TJ,https://www.amazon.com/Kneeling-Gardening-Planting-Mechanic-Exercise/dp/B08QTNM1TJ/ref=sr_1_1,Comfy Extra Large Thick Waterproof Gardening Kneeling Pad Foam Kneeler Mat Garden Knee Pad Cushion for Gardening Planting Yard Work Prayer Yoga Mechanic Workout Baby Bath,Omixe,12.96,5,87.1941699235344,25,0,83.42025607476637,,,,,
OTTO-c8898cf0-7677-4a46-87ad-6dac0394d47b,B0BVVDC3KH,https://www.amazon.com/WORKPRO-Kneeling-Cushioning-Gardening-Supplies/dp/B0BVVDC3KH/ref=sr_1_3,"WORKPRO Extra Thick Kneeling Pad, Soft NBR Foam Cushioning for Knee, Large Foam Kneeler Mat for Gardening, Bathing Baby, Exercise, Workout Supplies, 17.5 x 11 x 1.5 in, Black",WORKPRO,15.99,5,88.60338707010587,25,0,84.39689575066141,,,,,
OTTO-ff1208d0-7083-4ba9-9bd8-cdba9934f4fa,B0BCJQ31XZ,https://www.amazon.com/BTSKY-3-Layer-Organizer-Adjustable-Multipurpose/dp/B0BCJQ31XZ/ref=sr_1_3,BTSKY 3-Layer Plastic Dividing Storage Box Craft Organizer and Storage with Adjustable Spacers Portable Handled Art Supply Organizer Multipurpose Home Utility Box Organizer (Pink),BTSKY,20.99,5,91.86280644336428,25,0,86.58023366505091,,,,,
OTTO-548d4365-7f69-4353-b115-6220a2dffcbf,B0B6RCKQBS,https://www.amazon.com/Storage-Organizer-Plastic-Hardware-Component/dp/B0B6RCKQBS/ref=sr_1_2,"Parts Screws Storage Organizer, Plastic Hardware Art Craft Small Tool Parts Component Organizer Drawer Box 25 Drawers (Black)",whillar,23.99,5,82.0953214536168,10,0,83.34383192939647,,,,,
OTTO-6dbb994b-48a7-4caa-a604-667ba8bf709a,B084QJX2QQ,https://www.amazon.com/Elements-Beechwood-Storage-Pastels-Pencils/dp/B084QJX2QQ/ref=sr_1_1,"7 Elements 6 Drawer Wooden Artist Storage Supply Box for Pastels, Pencils, Pens, Markers, Brushes and Tools",7 Elements,41.99,10,78.04919731054869,25,0,78.51926920915456,,,,,
OTTO-f61209cc-4091-4636-9518-a7051e615ed1,B0C98KGM5M,https://www.amazon.com/Plastic-Organizer-Dividers-Storage-Earring/dp/B0C98KGM5M/ref=sr_1_7,OALCQ 24 Grids Plastic Organizer Box With Dividers Clear Craft Storage Bead Organizer Box Earring Travel Pill Jewelry Organizers Storage Boxes Screw Seed Small Parts Hair Tie,OALCQ,5.99,5,93.9580511832679,25,0,87.48736748993646,,,,,
OTTO-0dbe567a-5187-48a9-938d-fe38f7f86d86,B0D4HSNWWR,https://www.amazon.com/KADS-Storage-Organizer-Removable-Dividers/dp/B0D4HSNWWR/ref=sr_1_10,"KADS Bead Storage Organizer Box with 28 Grids and Removable Dividers - Plastic Container Tray for Craft, Jewelry and Earrings (Clear)",KADS,5.99,5,90.44728873433787,10,0,86.16454043163878,,,,,
OTTO-c8e54e06-5376-4c79-8ef2-8bfccdbf4496,B0CK17FFBN,https://www.amazon.com/DUOFIRE-Organizer-Organizers-Storage-Adjustable/dp/B0CK17FFBN/ref=sr_1_10,"DUOFIRE Bead Organizer Tackle Box Organizers and Storage Clear Plastic Storage Box Craft Organizers and Storage Adjustable Divider for Beads,Jewelry, Fishing Tackle(18 Grids, White X 1)",DUOFIRE,7.99,5,75.50558166551644,20,0,80.01457397055442,,,,,
OTTO-5cc116df-fabd-4b2f-aeeb-07464af321aa,B0FK3K1228,https://www.amazon.com/Multifunctional-Storage-Portable-Supplies-Organizers/dp/B0FK3K1228/ref=sr_1_1,"24QT Craft Storage Box with Removable Trays - Art Supply Organizer & Marker Organizer, Multi-Purpose Storage Bins with Lids for Playroom Storage, Board Game Storage & Craft Organizers and Storage",Generic,24.66,5,72.57456369248035,25,0,78.72777875982044,,,,,
OTTO-04c4519f-04b0-44c7-9c01-91b2b178dd75,B0FH1X1Q2V,https://www.amazon.com/Qryuvfek-Organizer-Jewelry-Organizers-Containers/dp/B0FH1X1Q2V/ref=sr_1_2,"Bead Organizer Box, 31 Mini Clear Jewelry Organizers and Hinged Lid Bead Storage Containers, Ideal for DIY Jewelry Crafts, Screws and Small Parts Craft Storage",Qryuvfek,8.99,5,90.81474537271639,25,0,85.31952505358304,,,,,
OTTO-b06c7eb4-0fa8-4fcf-b2af-f8e4754ab79e,B0F7TQQJ3B,https://www.amazon.com/RoseArt-Multi-Layer-Plastic-Dividing-Storage/dp/B0F7TQQJ3B/ref=sr_1_1,"RoseArt Multi-Layer Plastic Dividing Craft Storage Box - Portable Handled Art Supply Organizer, Utility, Tool, Medicine, Craft Box Clear - Made in U.S.A",RoseArt,13.29,5,90.46891393912138,25,0,84.97196291867151,,,,,
OTTO-eb4d18cd-8c33-4a70-8d7d-8146be88d42c,B09QKS2GD3,https://www.amazon.com/novelinks-Photos-Organizer-Storage-Handle/dp/B09QKS2GD3/ref=sr_1_4,"novelinks Transparent 4"" x 6"" Photo Cases and Clear Craft Keeper with Handle, 16 Inner Photo Organizers & Photo Storage Box, Plastic Photo Storage Containers (Clear)",novelinks,25.99,5,77.20995697137,25,0,78.59960084802476,,,,,
OTTO-949077f3-ade5-4935-9531-63c1650c52c9,B0D6VS8BQT,https://www.amazon.com/Gonice-Cabinet-Storage-Hardware-Organizer/dp/B0D6VS8BQT/ref=sr_1_4,"Gonice Craft Cabinet Organizer, 24 Drawer Plastic Parts Cabinet, Tool Storage Box for Screws, Nuts and Small Parts",Gonice,24.99,5,86.52077325069122,10,0,84.17710640172578,,,,,
